This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng:
Results Average: Absolute values (without + or -):
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	0.078419
0.550000	0.331490
1.100000	0.489578
1.650000	0.679986
2.200000	1.047949
2.750000	1.596409
3.300000	2.059937
3.850000	2.590902
4.400000	3.990918
4.950000	5.009162
5.500000	6.189249
6.050000	7.287717
6.600000	8.523430
7.150000	9.193217
7.700000	9.872258
8.250000	10.139458
8.800000	10.464662
9.350000	10.604198
9.900000	10.568103
10.450000	10.385399
11.000000	10.273857
11.550000	10.365202
12.100000	10.228965
12.650000	9.766391
13.200000	9.085729
13.750000	9.063847
14.300000	9.316524
14.850000	9.438739
15.400000	8.890598
15.950000	8.354226
16.500000	7.862084
17.050000	7.337556
17.600000	6.846147
18.150000	6.503919
18.700000	6.486735
19.250000	6.612203
19.800000	7.020993
20.350000	7.352763
20.900000	7.576713
21.450000	7.736416
22.000000	7.784414
22.550000	7.917207
23.100000	7.897601
23.650000	7.720924
24.200000	7.589771
24.750000	7.511664
25.300000	7.388134
25.850000	6.895317
26.400000	7.079766
26.950000	6.828981
27.500000	6.825533
28.050000	7.047010
28.600000	7.251590
29.150000	7.616601
29.700000	7.430568
30.250000	
30.800000	
31.350000	
31.900000	
32.450000	
33.000000	
33.550000	
34.100000	
34.650000	
35.200000	
35.750000	
36.300000	
36.850000	
37.400000	
37.950000	
38.500000	
39.050000	
39.600000	
40.150000	
40.700000	
41.250000	
41.800000	
42.350000	
42.900000	
43.450000	
44.000000	
44.550000	
45.100000	
45.650000	
46.200000	
46.750000	
47.300000	
47.850000	
48.400000	
48.950000	
49.500000	
50.050000	
50.600000	
51.150000	
51.700000	
52.250000	
52.800000	
53.350000	
53.900000	
54.450000	
55.000000	
55.550000	
56.100000	
56.650000	
57.200000	
57.750000	
58.300000	
58.850000	
59.400000	
59.950000	
60.500000	
61.050000	
61.600000	
62.150000	
62.700000	
63.250000	
63.800000	
64.350000	
64.900000	
65.450000	
66.000000	
66.550000	
67.100000	
67.650000	
68.200000	
68.750000	
69.300000	
69.850000	
70.400000	
70.950000	
71.500000	
72.050000	
72.600000	
73.150000	
73.700000	
74.250000	
74.800000	
75.350000	
75.900000	
76.450000	
77.000000	
77.550000	
78.100000	
78.650000	
79.200000	
79.750000	
80.300000	
80.850000	
81.400000	
81.950000	
82.500000	
83.050000	
83.600000	
84.150000	
84.700000	
85.250000	
85.800000	
86.350000	
86.900000	
87.450000	
88.000000	
88.550000	
89.100000	
89.650000	
90.200000	
90.750000	
91.300000	
91.850000	
92.400000	
92.950000	
93.500000	
94.050000	
94.600000	
95.150000	
95.700000	
96.250000	
96.800000	
97.350000	
97.900000	
98.450000	
99.000000	
99.550000	
100.100000	
100.650000	
101.200000	
101.750000	
102.300000	
102.850000	
103.400000	
103.950000	
104.500000	
105.050000	
105.600000	
106.150000	
106.700000	
107.250000	
107.800000	
108.350000	
108.900000	
109.450000	
110.000000	
110.550000	
111.100000	
111.650000	
112.200000	
112.750000	
113.300000	
113.850000	
114.400000	
114.950000	
115.500000	
116.050000	
116.600000	
117.150000	
117.700000	
118.250000	
118.800000	
119.350000	
119.900000	
120.450000	
121.000000	
121.550000	
122.100000	
122.650000	
123.200000	
123.750000	
124.300000	
124.850000	
125.400000	
125.950000	
126.500000	
127.050000	
127.600000	
128.150000	
128.700000	
129.250000	
129.800000	
130.350000	
130.900000	
131.450000	
132.000000	
132.550000	
133.100000	
133.650000	
134.200000	
134.750000	
135.300000	
135.850000	
136.400000	
136.950000	
137.500000	
138.050000	
138.600000	
139.150000	
139.700000	
140.250000	
140.800000	
141.350000	
141.900000	
142.450000	
143.000000	
143.550000	
144.100000	
144.650000	
145.200000	
145.750000	
146.300000	
146.850000	
147.400000	
147.950000	
148.500000	
149.050000	
149.600000	
150.150000	
150.700000	
151.250000	
151.800000	
152.350000	
152.900000	
153.450000	
154.000000	
154.550000	
155.100000	
155.650000	
156.200000	
156.750000	
157.300000	
157.850000	
158.400000	
158.950000	
159.500000	
160.050000	
160.600000	
161.150000	
161.700000	
162.250000	
162.800000	
163.350000	
163.900000	
164.450000	
165.000000	
165.550000	
166.100000	
166.650000	
167.200000	
167.750000	
168.300000	
168.850000	
169.400000	
169.950000	
170.500000	
171.050000	
171.600000	
172.150000	
172.700000	
173.250000	
173.800000	
174.350000	
174.900000	
175.450000	
176.000000	
176.550000	
177.100000	
177.650000	
178.200000	
178.750000	
179.300000	
179.850000	
180.400000	
180.950000	
181.500000	
182.050000	
182.600000	
183.150000	
183.700000	
184.250000	
184.800000	
185.350000	
185.900000	
186.450000	
187.000000	
187.550000	
188.100000	
188.650000	
189.200000	
189.750000	
190.300000	
190.850000	
191.400000	
191.950000	
192.500000	
193.050000	
193.600000	
194.150000	
194.700000	
195.250000	
195.800000	
196.350000	
196.900000	
197.450000	
198.000000	
198.550000	
199.100000	
199.650000	
200.200000	
200.750000	
201.300000	
201.850000	
202.400000	
202.950000	
203.500000	
204.050000	
204.600000	
205.150000	
